시즌,상대팀,공격득점,블로킹득점,서브득점,팀범실,상대범실,전체득점,상대득점,디그성공,리시브정확,세트성공,공격성공률,리시브효율,경기시간,세트승,세트패,결과,김연경,김연경득점,김연경시도,김연경성공,김연경공격차단,김연경범실,김연경성공률,김연경점유율
7,현대건설,52,4,3,9,18,77,68,58,31,48,47.27,37.50,80,3,0,승,미출전,,,,,,,
7,현대건설,56,12,3,19,32,103,99,83,32,53,37.09,31.03,119,2,3,패,미출전,,,,,,,
7,현대건설,69,6,5,21,35,115,112,109,50,64,37.10,45.00,128,3,2,승,미출전,,,,,,,
7,현대건설,65,10,4,20,30,109,112,100,50,61,37.57,46.94,129,2,3,패,미출전,,,,,,,
7,현대건설,52,7,3,28,25,87,96,80,41,51,36.11,40.00,106,1,3,패,미출전,,,,,,,
8,현대건설,45,5,6,26,35,91,102,89,28,45,31.25,25.93,104,1,3,패,미출전,,,,,,,
8,도로공사,50,9,5,23,32,96,83,80,25,45,39.37,26.09,98,3,1,승,미출전,,,,,,,
8,IBK기업은행,37,4,7,17,14,62,75,60,27,35,33.04,34.38,76,0,3,패,미출전,,,,,,,
8,GS칼텍스,64,5,4,24,33,106,107,74,32,62,47.76,23.96,115,3,2,승,미출전,,,,,,,
8,KGC인삼공사,59,2,7,31,25,93,107,80,33,57,39.60,30.43,115,2,3,패,미출전,,,,,,,
8,IBK기업은행,63,3,9,23,19,94,100,73,36,60,43.15,31.52,109,1,3,패,미출전,,,,,,,
8,도로공사,44,6,2,12,23,75,45,64,12,42,48.35,17.50,67,3,0,승,미출전,,,,,,,
8,GS칼텍스,48,7,2,13,18,75,60,65,30,47,42.86,45.61,71,3,0,승,미출전,,,,,,,
8,KGC인삼공사,73,7,5,22,28,113,114,92,45,71,41.71,42.16,119,3,2,승,미출전,,,,,,,
8,현대건설,61,9,1,22,29,100,99,87,39,58,40.94,43.37,113,2,3,패,미출전,,,,,,,
8,도로공사,59,10,4,23,32,106,111,112,38,58,32.78,30.21,119,2,3,패,미출전,,,,,,,
8,IBK기업은행,47,3,7,10,18,75,65,62,24,46,45.19,34.43,76,3,0,승,미출전,,,,,,,
8,현대건설,54,6,5,15,31,96,83,73,40,51,42.86,50.00,101,3,1,승,미출전,,,,,,,
8,GS칼텍스,62,5,2,13,22,91,73,75,35,58,45.59,44.93,87,3,1,승,미출전,,,,,,,
8,KGC인삼공사,61,6,5,14,20,92,95,93,55,53,36.75,62.35,100,1,3,패,미출전,,,,,,,
8,현대건설,69,6,2,21,23,100,108,102,58,63,36.90,55.56,119,3,2,승,미출전,,,,,,,
8,GS칼텍스,67,6,3,19,22,98,83,72,33,65,49.63,41.03,98,3,1,승,미출전,,,,,,,
8,도로공사,42,5,4,23,34,85,92,65,25,40,38.18,18.42,95,1,3,패,미출전,,,,,,,
8,KGC인삼공사,43,1,5,21,13,62,75,55,40,43,40.95,50.77,74,0,3,패,미출전,,,,,,,
8,IBK기업은행,61,5,8,31,30,105,108,83,47,55,41.50,42.53,125,1,3,패,미출전,,,,,,,
8,KGC인삼공사,43,2,7,22,18,70,77,52,41,42,41.75,58.46,73,0,3,패,미출전,,,,,,,
8,GS칼텍스,61,12,4,15,20,97,85,96,38,60,39.10,43.75,102,3,1,승,미출전,,,,,,,
8,현대건설,70,7,7,27,22,106,112,84,32,67,45.75,26.53,122,2,3,패,미출전,,,,,,,
8,IBK기업은행,64,10,5,30,18,97,104,89,40,61,38.79,37.63,109,2,3,패,미출전,,,,,,,
8,도로공사,57,4,8,32,31,100,102,76,37,56,40.14,36.90,114,2,3,패,미출전,,,,,,,
8,KGC인삼공사,52,3,4,24,23,82,94,75,35,51,36.88,37.35,94,1,3,패,미출전,,,,,,,
8,도로공사,37,6,5,20,28,76,96,66,29,35,34.58,23.08,92,1,3,패,미출전,,,,,,,
8,현대건설,56,2,6,14,29,93,102,77,26,52,40.29,21.18,113,3,2,승,미출전,,,,,,,
8,GS칼텍스,59,7,6,21,21,93,80,79,50,56,42.75,63.16,91,3,1,승,미출전,,,,,,,
8,IBK기업은행,44,4,6,21,16,70,78,66,36,44,37.93,44.44,80,0,3,패,미출전,,,,,,,
9,IBK기업은행,59,6,7,33,23,95,97,84,28,58,41.26,28.74,107,2,3,패,미출전,,,,,,,
9,현대건설,59,5,6,24,28,98,92,84,28,56,42.45,28.40,107,3,1,승,미출전,,,,,,,
9,KGC인삼공사,55,10,7,31,17,89,94,77,33,52,39.86,33.73,108,1,3,패,미출전,,,,,,,
9,GS칼텍스,50,3,6,20,11,70,81,60,36,49,42.37,43.42,83,0,3,패,미출전,,,,,,,
9,도로공사,53,6,7,20,30,96,106,57,39,51,45.30,32.95,113,2,3,패,미출전,,,,,,,
9,IBK기업은행,33,1,4,22,13,51,75,44,33,32,37.08,39.71,67,0,3,패,미출전,,,,,,,
9,도로공사,54,5,8,35,28,95,101,62,30,53,47.37,25.00,109,1,3,패,미출전,,,,,,,
9,GS칼텍스,51,7,4,18,20,82,90,75,33,47,39.23,32.91,94,1,3,패,미출전,,,,,,,
9,KGC인삼공사,52,5,4,15,15,76,63,85,22,50,44.83,24.19,87,3,0,승,미출전,,,,,,,
9,현대건설,40,2,3,15,16,61,75,42,21,38,45.98,20.00,71,0,3,패,미출전,,,,,,,
9,IBK기업은행,54,6,3,25,12,75,99,63,33,53,44.26,27.47,97,1,3,패,미출전,,,,,,,
9,도로공사,23,3,3,22,19,48,75,32,18,22,34.85,16.13,65,0,3,패,미출전,,,,,,,
9,KGC인삼공사,37,10,9,15,19,75,46,61,12,35,42.53,17.50,69,3,0,승,미출전,,,,,,,
9,현대건설,53,2,3,23,31,89,102,59,27,51,44.17,22.99,104,2,3,패,미출전,,,,,,,
9,GS칼텍스,43,8,3,12,21,75,64,53,35,40,40.95,52.54,75,3,0,승,미출전,,,,,,,
9,KGC인삼공사,48,6,6,28,33,93,85,71,35,46,42.11,40.85,94,3,1,승,미출전,,,,,,,
9,도로공사,21,2,7,16,22,52,75,27,12,18,35.00,0.00,69,0,3,패,미출전,,,,,,,
9,IBK기업은행,47,2,4,16,13,66,80,70,33,47,40.87,36.11,85,0,3,패,미출전,,,,,,,
9,GS칼텍스,34,2,6,22,13,55,75,42,17,34,39.08,18.75,69,0,3,패,미출전,,,,,,,
9,현대건설,33,6,3,18,16,58,75,38,28,33,41.77,33.87,69,0,3,패,미출전,,,,,,,
9,도로공사,48,19,11,32,23,101,99,66,35,47,36.92,30.34,110,3,1,승,미출전,,,,,,,
9,GS칼텍스,41,4,7,16,15,67,75,52,23,41,40.20,27.94,81,0,3,패,미출전,,,,,,,
9,현대건설,23,2,3,26,18,46,75,39,20,20,28.75,22.03,62,0,3,패,미출전,,,,,,,
9,IBK기업은행,27,4,3,33,11,45,75,46,22,25,30.34,22.73,65,0,3,패,미출전,,,,,,,
9,KGC인삼공사,51,5,8,28,21,85,97,63,25,49,44.35,26.25,99,1,3,패,미출전,,,,,,,
9,도로공사,23,4,1,19,18,46,75,40,19,23,27.71,4.69,66,0,3,패,미출전,,,,,,,
9,GS칼텍스,37,1,5,17,24,67,82,64,27,34,35.24,25.35,82,0,3,패,미출전,,,,,,,
9,현대건설,28,4,5,18,18,55,75,45,27,27,32.94,34.92,69,0,3,패,미출전,,,,,,,
9,IBK기업은행,45,4,6,27,26,81,99,74,33,42,32.85,30.34,102,1,3,패,미출전,,,,,,,
9,KGC인삼공사,47,13,6,36,28,94,101,91,32,46,29.38,28.26,110,2,3,패,미출전,,,,,,,
